Transaction_ID,Customer_ID,Amount,Payment_Method,Location,Risk_Score,Risk_Level,Fraud_Reason,Transaction_Date,Transaction_Time
TXN00036322,CUST01217,133995.08,UPI,Bhubaneswar,95,High,Velocity Attack,2022-01-23,03:13:42
TXN00035148,CUST05844,129729.64,UPI,Mysuru,95,High,Velocity Attack,2021-10-02,19:17:52
TXN00086694,CUST08727,107066.36,UPI,Nagpur,95,High,Velocity Attack,2024-10-05,12:09:22
TXN00095500,CUST04818,72259.9,UPI,Visakhapatnam,85,High,Velocity Attack,2023-09-29,17:03:39
TXN00049500,CUST03264,62932.25,UPI,Mumbai,85,High,Velocity Attack,2022-04-25,15:39:48
TXN00091843,CUST05345,62641.77,UPI,Mysuru,85,High,Velocity Attack,2025-09-25,08:48:21
TXN00052016,CUST04239,28225.4,UPI,Visakhapatnam,85,High,Velocity Attack,2024-11-08,10:19:41
TXN00054034,CUST02081,16430.89,UPI,Indore,85,High,Velocity Attack,2021-03-13,04:29:35
TXN00007548,CUST05570,16101.69,UPI,Aurangabad,85,High,Velocity Attack,2023-08-08,05:28:52
TXN00072560,CUST03677,13399.8,UPI,Mysuru,85,High,Velocity Attack,2022-03-12,02:58:31
TXN00021191,CUST02589,12822.74,UPI,Visakhapatnam,85,High,Velocity Attack,2024-05-12,02:33:55
TXN00045082,CUST00974,12016.53,UPI,Ahmedabad,85,High,Velocity Attack,2023-12-25,07:54:50
TXN00043272,CUST04184,10493.63,UPI,Delhi,85,High,Velocity Attack,2024-10-16,12:10:00
TXN00047921,CUST09876,9963.92,UPI,Nagpur,85,High,Velocity Attack,2022-11-15,17:53:14
TXN00078974,CUST09274,8878.23,UPI,Nashik,85,High,Velocity Attack,2025-11-17,17:34:01
TXN00067770,CUST09953,7727.25,UPI,Coimbatore,85,High,Velocity Attack,2023-07-17,02:59:34
TXN00006175,CUST09489,7622.59,UPI,Bengaluru,85,High,Velocity Attack,2022-03-15,07:07:35
TXN00078140,CUST07351,5810.48,UPI,Bengaluru,85,High,Velocity Attack,2021-01-15,12:38:44
TXN00033846,CUST00383,5668.61,UPI,Bhubaneswar,85,High,Velocity Attack,2021-08-23,13:53:52
TXN00060530,CUST05754,5420.62,UPI,Mysuru,85,High,Velocity Attack,2023-03-04,22:43:49
TXN00043173,CUST00198,5303.48,UPI,Nagpur,85,High,Velocity Attack,2022-07-14,12:10:12
TXN00014281,CUST07816,4601.68,UPI,Jaipur,85,High,Velocity Attack,2023-07-13,10:33:45
TXN00034246,CUST09822,4244.72,UPI,Nagpur,85,High,Velocity Attack,2023-02-10,05:51:03
TXN00011708,CUST04359,3914.51,UPI,Nagpur,85,High,Velocity Attack,2021-02-06,23:03:14
TXN00038271,CUST07593,3487.49,UPI,Thiruvananthapuram,85,High,Velocity Attack,2021-06-01,13:39:24
TXN00014830,CUST00949,3478.27,UPI,Thane,85,High,Velocity Attack,2022-10-26,19:21:26
TXN00051546,CUST00852,3069.66,UPI,Lucknow,85,High,Velocity Attack,2025-09-10,19:36:28
