Year,Month,Total_Transactions,Fraud_Transactions,Total_Amount,Fraud_Amount,Fraud_Rate_%
2021,1,1706,55,10469235.21,745207.57,3.2239155920281357
2021,2,1462,53,9024670.44,989100.1300000001,3.625170998632011
2021,3,1669,43,9463383.84,636381.3400000001,2.5763930497303775
2021,4,1557,48,10398056.0,1408253.4300000002,3.0828516377649327
2021,5,1669,60,11252169.46,1361621.76,3.59496704613541
2021,6,1647,44,9898422.41,825858.0199999999,2.671523982999393
2021,7,1734,45,11125208.94,780449.7999999999,2.5951557093425603
2021,8,1776,55,12647976.25,1327105.1299999997,3.0968468468468466
2021,9,1493,33,8740882.4,528524.4099999999,2.2103148024112524
2021,10,1762,52,11074696.49,962310.1599999999,2.9511918274687856
2021,11,1721,46,11099028.85,1175694.22,2.672864613596746
2021,12,1772,55,10750117.69,888243.99,3.1038374717832955
2022,1,1712,62,11508512.85,1071050.85,3.6214953271028034
2022,2,1622,56,11017161.46,1683834.13,3.45252774352651
2022,3,1746,50,9806891.43,847131.1299999999,2.86368843069874
2022,4,1671,47,11048721.0,1060007.24,2.8126870137642133
2022,5,1771,55,11240887.2,1024630.23,3.1055900621118013
2022,6,1668,43,11974945.95,1236494.0199999998,2.577937649880096
2022,7,1694,62,11140152.94,1441412.2300000002,3.659976387249114
2022,8,1715,38,10758212.8,542998.97,2.2157434402332363
2022,9,1685,63,10096034.55,840585.99,3.7388724035608307
2022,10,1813,53,11138732.040000001,1223118.2799999998,2.923331494760066
2022,11,1642,60,11045674.06,1638162.77,3.6540803897685747
2022,12,1665,38,10249358.17,848225.2200000001,2.2822822822822824
2023,1,1699,50,10631299.84,601107.75,2.942907592701589
2023,2,1528,42,9699150.41,950857.8400000001,2.74869109947644
2023,3,1662,40,9996727.98,590200.49,2.406738868832732
2023,4,1668,54,10535084.16,1231749.75,3.237410071942446
2023,5,1669,56,10470227.69,878300.27,3.3553025763930497
2023,6,1602,36,9069310.54,732111.99,2.247191011235955
2023,7,1774,56,10658136.27,1114280.8199999998,3.1567080045095826
2023,8,1640,50,10360172.92,999957.4000000001,3.048780487804878
2023,9,1616,41,10858708.98,1150000.15,2.5371287128712874
2023,10,1695,53,10739554.84,1376979.5100000002,3.1268436578171093
2023,11,1639,46,11145998.56,1084885.1600000001,2.8065893837705915
2023,12,1712,51,11253879.51,2170674.84,2.9789719626168223
2024,1,1696,48,10885325.43,1412929.67,2.8301886792452833
2024,2,1545,43,9125534.27,462650.02999999997,2.7831715210355985
2024,3,1702,54,11511113.99,1408851.03,3.172737955346651
2024,4,1657,43,11954289.14,1146267.83,2.595051297525649
2024,5,1722,54,11253452.43,1206328.19,3.1358885017421603
2024,6,1599,47,9122007.58,1043370.1699999999,2.9393370856785492
2024,7,1704,43,10741329.47,761290.03,2.523474178403756
2024,8,1690,53,11568399.42,865582.02,3.1360946745562135
2024,9,1582,50,10032924.66,877481.3600000001,3.16055625790139
2024,10,1701,50,10450499.26,1308368.2999999998,2.9394473838918285
2024,11,1567,50,10336947.74,1016571.9,3.190810465858328
2024,12,1661,54,11479946.43,1279395.97,3.2510535821794098
2025,1,1660,45,10108522.28,840784.68,2.710843373493976
2025,2,1564,44,10401856.44,1100594.08,2.813299232736573
2025,3,1687,56,11309884.51,904148.1100000001,3.319502074688797
2025,4,1642,57,10891240.27,1681226.4,3.4713763702801463
2025,5,1709,52,10883613.99,1023577.3399999999,3.0427150380339376
2025,6,1719,48,9698040.5,616607.6400000001,2.7923211169284468
2025,7,1707,62,9636258.35,1048147.9600000002,3.6321031048623316
2025,8,1682,60,11419997.73,1441884.2100000002,3.56718192627824
2025,9,1625,48,9964610.04,1097463.65,2.9538461538461536
2025,10,1698,58,10070355.31,1217543.9,3.415783274440518
2025,11,1534,45,9548110.79,923868.16,2.9335071707953064
2025,12,1671,45,11230033.02,1003548.11,2.6929982046678633
